"bl"	"bmi"	"bodyfat"	"bw"	"cir"	"di"	"fg"	"fg2hr"	"fi"	"hba1c"	"height"	"hip_f"	"hip_m"	"hip"	"hipadjbmi"	"homab"	"homair"	"incr30"	"ins30_bmi"	"isi"	"isibmi"	"leptin"	"proins"	"sat"	"urate"	"vat"	"wc_female"	"wc_male"	"wc"	"wcadjbmi"	"whr_f"	"whr_m"	"whr"	"whradjbmi"
"height"	0.340165322256349	0.183746592268272	0.179824373740209	0.157351750644377	-0.0726762246691142	-0.186083810666275	0.143860846168082	-0.0300160353931558	0.129900841898957	0.018352363883373	1	0.37938071671071	0.424492087348679	0.436946882579543	0.661586715200874	0.0433086224528678	0.254001141091188	0.00535667259794288	-0.0250273867704464	0.163477561233527	-0.266151726859045	0.127661680827573	0.148674187257142	0.0833529748411248	-0.0345953229807379	-0.0264626139082732	0.272480794829618	0.366971590665039	0.348583696526396	0.486661283966723	-0.019066170181147	0.21076847206024	0.0878892912602766	-0.00155404988349949
"hip_f"	0.15159916365351	0.845758942943669	0.729054223169098	0.235286651922195	0.173584534009565	0.168109948521019	-0.138401645773719	-0.395109890783021	0.17991115940405	-0.226489508496516	0.37938071671071	1	0.720890829919459	0.937586918294306	0.588098782915012	0.273389279524107	0.217816588256832	0.141011749903885	0.222893700449639	0.204344593654496	-0.0927640150172112	0.484651209987878	0.0186663536913926	0.0660846604738308	0.113049071449834	-0.158807663220472	0.769453711384049	0.779525263131082	0.859850521359873	0.223976358402049	-0.0183570678380643	0.582146748291536	0.277214065306632	-0.261182879809822
"hip_m"	-0.00143986733991985	0.801786720057984	0.654827401943639	0.0587074382538588	0.225990178361651	0.167510306199877	-0.128223150584748	-0.436088362029054	0.32150750746902	-0.305835157934995	0.424492087348679	0.720890829919459	1	0.914788430894392	0.589176568049363	0.311431965822875	0.279873186049734	0.223357991560318	0.262076691435001	0.0953145352419017	-0.0225477303067662	0.469115568537381	-0.0798811450792592	0.165986360589596	0.0340907040519113	0.011095406461283	0.501453958605592	0.91878668793325	0.785859869003577	0.114051824833362	-0.0939719679169752	0.547079261032542	0.195147170243604	-0.342188049624991
"hip"	0.0989023615798842	0.891738411490649	0.747071791270592	0.171801183291722	0.217345323600231	0.180877572954783	-0.140112035365794	-0.450674968264556	0.270242969803376	-0.281091901339912	0.436946882579543	0.937586918294306	0.914788430894392	1	0.632482060746181	0.309845900771584	0.26615708358634	0.198809260593254	0.265490643415676	0.161296203674697	-0.0643293983234032	0.509518618845491	-0.0260259120462124	0.124222105590888	0.0784601232055518	-0.0834503235396213	0.698684199942303	0.908227446615486	0.891637779712559	0.189216575289591	-0.0513506474296942	0.606361519073729	0.261389858083331	-0.319675010151441
"hipadjbmi"	0.138032069107159	0.258719452596426	0.369679195619444	0.130362630252687	0.19100772383993	0.114935587372695	-0.0489958073898247	-0.299225569982386	0.126793498740712	-0.211406427426861	0.661586715200874	0.588098782915012	0.589176568049363	0.632482060746181	1	0.185470111356868	0.204484784871252	0.199846873685536	0.222777849396215	0.181033704276983	-0.150527511551961	0.282377270872295	0.0170329548921014	0.114410678109365	0.0554587323987823	0.0335368831361605	0.212010797666501	0.494838096645214	0.38821689987536	0.373269927563537	-0.39873071563127	0.189824030814201	-0.212535492534553	-0.370485541343989
"homab"	-0.0178020615277612	0.306002270301845	0.208749529860022	-0.0158785520012697	0.561776084063588	0.411640503924606	-0.750373472061495	-0.47884690389827	0.615884894480687	-0.602180578540956	0.0433086224528678	0.273389279524107	0.311431965822875	0.309845900771584	0.185470111356868	1	0.466548105864389	0.516763878220282	0.603782885087783	-0.2061038754491	0.421241443888207	0.170766389377692	-0.136914331110478	0.137604113721982	0.0949997365692993	0.125596282120475	0.242344830233847	0.329612631709407	0.310660546745451	0.0460263926798952	0.0201665300777842	0.11454129306099	0.073906254669821	-0.124604202676024
"homair"	-0.0197314787246268	0.195499470767738	0.050235353983291	-0.103817701926182	0.0620290493383537	-0.200007336561097	0.202969739114466	-0.0847837538236158	0.789601687585343	0.0675625971580003	0.254001141091188	0.217816588256832	0.279873186049734	0.26615708358634	0.204484784871252	0.466548105864389	1	0.221557852959435	0.195425475964583	-0.259278787094279	0.178316352116862	0.237582076125885	0.116173319743744	-0.0145483631303702	-0.0476040041971766	0.211287055605611	0.289662879740358	0.25518392268872	0.294212898213541	0.231174675705738	0.213979208143682	0.106628339947908	0.218205769399201	0.0926923896691305
"incr30"	-0.186074605795175	0.158602256194204	0.037398264932447	-0.108490992679347	0.736456777898861	0.518943566388023	-0.409386038431283	-0.344160638093316	0.413219950807083	-0.381412357965863	0.00535667259794288	0.141011749903885	0.223357991560318	0.198809260593254	0.199846873685536	0.516763878220282	0.221557852959435	1	0.929565000483936	-0.26453540455683	0.303899421905467	0.135597424524436	-0.111409317889804	0.167382284967162	0.159620530238853	0.118205147666869	0.0488759914893584	0.151739973716886	0.118152319564205	-0.0279332340998302	-0.117586317134017	-0.0798779884970656	-0.124043740528477	-0.205954772578251
"ins30_bmi"	-0.232876759538791	0.247195124390655	0.120235223479168	-0.0942546107497431	0.881375447273935	0.694726933749556	-0.52262417823698	-0.486585653072035	0.448193875950273	-0.469219872154561	-0.0250273867704464	0.222893700449639	0.262076691435001	0.265490643415676	0.222777849396215	0.603782885087783	0.195425475964583	0.929565000483936	1	-0.219220130704284	0.337553513246745	0.173207921695104	-0.0999232315457838	0.205780217380897	0.151485600311421	0.0682227955637037	0.121206664491759	0.201378233339783	0.187412631016947	-0.0562269336267992	-0.129965033802939	-0.0477001099671526	-0.115398915233449	-0.25232616015414
"isi"	0.147317450296101	0.118369374100938	0.35356993189786	0.084766418879592	-0.15594229951708	0.0135839203367908	0.0837435305998064	-0.180714129062037	-0.300408849473122	-0.111632233825072	0.163477561233527	0.204344593654496	0.0953145352419017	0.161296203674697	0.181033704276983	-0.2061038754491	-0.259278787094279	-0.26453540455683	-0.219220130704284	1	-0.472404179736745	0.20887486418955	0.186786422709392	-0.168735781190637	-0.277147414382804	-0.132934527013339	0.00896418192392432	0.16322101413904	0.0943886208607059	0.00742021926659383	-0.24016792706298	0.205732386084699	-0.0732475682304859	-0.138343441673909
